Gender,DOB,Degree,Specialization,collegeGPA,GraduationYear,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
f,1990-10-22,B.Tech/B.E.,instrumentation and control engineering,73.82,2013,-0.159,0.3789,1.2396,0.1459,0.2889,445000
m,1990-05-15,B.Tech/B.E.,computer science & engineering,65.0,2014,1.1336,0.0459,1.2396,0.5262,-0.2859,110000
m,1989-08-21,B.Tech/B.E.,electronics & telecommunications,61.94,2011,0.51,-0.1232,1.5428,-0.2902,-0.2875,255000
m,1991-05-04,B.Tech/B.E.,computer science & engineering,80.4,2013,-0.4463,0.2124,0.3174,0.2727,0.4805,420000
f,1990-10-30,B.Tech/B.E.,biotechnology,64.3,2012,-1.4992,-0.7473,-1.0697,0.0622299999999999,0.1864,200000
f,1989-12-02,M.Tech./M.E.,instrumentation and control engineering,99.93,2013,0.8463,-0.6201,-0.7585,-0.995,-0.2859,440000
f,1989-04-17,B.Tech/B.E.,mechanical engineering,68.0,2013,0.1282,-0.4536,0.3174,0.9066,-0.0943,150000
f,1991-04-11,B.Tech/B.E.,computer science & engineering,71.0,2013,0.1282,0.5454,0.4711,0.9066,-0.2859,105000
m,1992-11-25,B.Tech/B.E.,information technology,73.15,2014,-0.159,-0.4536,0.1637,0.5262,-0.0943,195000
f,1993-03-15,B.Tech/B.E.,computer science & engineering,70.08,2014,-0.7335,-0.4536,-0.2974,1.4136,0.6721,200000
m,1990-06-21,B.Tech/B.E.,electronics & telecommunications,62.0,2013,1.7081,0.5454,0.9322,-0.4879,0.8637,335000
m,1992-07-02,B.Tech/B.E.,instrumentation and control engineering,67.67,2013,0.7027,0.7119,0.01,-0.995,0.6721,300000
f,1991-12-24,B.Tech/B.E.,information technology,85.0,2013,-1.9629,-2.1903,-2.775,0.4148,-0.4455,480000
f,1992-08-09,B.Tech/B.E.,computer science & engineering,85.0,2014,0.99,0.7119,-0.1437,-1.1218,0.8637,550000
m,1991-09-12,B.Tech/B.E.,electronics and communication engineering,81.4,2014,1.2772,1.0449,0.7785,-1.2486,0.6721,325000
m,1990-09-30,B.Tech/B.E.,information technology,75.2,2012,0.1623,0.9688,1.1074,0.4442,-0.1295,405000
m,1988-05-25,B.Tech/B.E.,computer engineering,78.7,2011,-1.3447,-1.3713,-0.4891,0.1798,1.2923,500000
f,1992-02-25,B.Tech/B.E.,computer science & engineering,73.9,2014,1.2772,0.0459,0.6248,-1.3753,0.6721,210000
m,1991-10-25,B.Tech/B.E.,computer science & engineering,66.0,2013,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,400000
m,1991-05-22,B.Tech/B.E.,computer science & engineering,76.0,2013,0.2718,0.7119,0.3174,-0.1076,1.4386,360000
m,1987-11-21,B.Tech/B.E.,computer science & engineering,69.94,2013,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692,240000
